framework_key,code,year_level,learning_area,description
ACARA,ACARA-AS-LANGUAGES-CHINESE-SECOND-LANGUAGE-LEARNER-PATHWAY-F-10-SEQUENCE-Y5,5,Chinese,"By the end of Year 6, students initiate and use strategies to maintain interactions in Chinese language that are related to their immediate environment. They use key features of pronunciation and intonation, recognising stress and phrasing in spoken texts. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, ideas, and preferences. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in Chinese or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of vocabulary and sentence structures to suit context. They sequence information and ideas, and use conventions appropriate to text type. They use familiar characters appropriate to context and Pinyin.
Students apply rules for pronunciation and intonation, writing, character formation, punctuation and modelled structures, when creating and responding in Chinese. They compare language structures and features in Chinese and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-CHINESE-SECOND-LANGUAGE-LEARNER-PATHWAY-F-10-SEQUENCE-Y6,6,Chinese,"By the end of Year 6, students initiate and use strategies to maintain interactions in Chinese language that are related to their immediate environment. They use key features of pronunciation and intonation, recognising stress and phrasing in spoken texts. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, ideas, and preferences. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in Chinese or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of vocabulary and sentence structures to suit context. They sequence information and ideas, and use conventions appropriate to text type. They use familiar characters appropriate to context and Pinyin.
Students apply rules for pronunciation and intonation, writing, character formation, punctuation and modelled structures, when creating and responding in Chinese. They compare language structures and features in Chinese and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-FIRST-LANGUAGE-LEARNER-PATHWAY-Y0,0,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of the Foundation year, students use play and imagination to interact and create [Language] texts, with support. They identify that [Language] and English are different. They recognise that there are languages and cultures as well as their own, and that aspects of languages and cultures contribute to their own and others’ cultural identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-FIRST-LANGUAGE-LEARNER-PATHWAY-Y1,1,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of Year 2, students use [Language] language to interact and share information related to Country/Place, the classroom and themselves. They use cues to respond to questions and instructions, using modelled language. They locate and convey key items of information in texts, using non-verbal, visual and contextual cues to help make meaning. They use familiar words, sentences and modelled language to create texts.

Students recognise and use the sounds and rhythms of spoken [Language]. They demonstrate understanding that [Language] has conventions and rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between some features of [Language] and English. They understand that [Language] belongs to Country/Place and Peoples, and is connected with their culture, and notice how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-FIRST-LANGUAGE-LEARNER-PATHWAY-Y2,2,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of Year 2, students use [Language] language to interact and share information related to Country/Place, the classroom and themselves. They use cues to respond to questions and instructions, using modelled language. They locate and convey key items of information in texts, using non-verbal, visual and contextual cues to help make meaning. They use familiar words, sentences and modelled language to create texts.

Students recognise and use the sounds and rhythms of spoken [Language]. They demonstrate understanding that [Language] has conventions and rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between some features of [Language] and English. They understand that [Language] belongs to Country/Place and Peoples, and is connected with their culture, and notice how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-FIRST-LANGUAGE-LEARNER-PATHWAY-Y3,3,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of Year 4, students use [Language] language to initiate structured interactions to share information related to Country/Place, the learning environment and their personal worlds. They use familiar language to participate in spoken and written activities that involve planning and transacting. They locate and respond to key items of information in texts, using strategies to help interpret and convey meaning in familiar contexts. They use familiar and formulaic language, and basic syntax, to create texts.

Students use the sounds, pronunciation and intonation patterns of spoken [Language]. They demonstrate understanding that [Language] has non-verbal, spoken and written language conventions and rules to create and make meaning. They recognise that some terms have cultural meanings. They identify patterns in [Language] and make comparisons between [Language] and English. They understand that the [Language] language is passed down from generation to generation by its Custodians and is connected with culture and identity. They identify how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-FIRST-LANGUAGE-LEARNER-PATHWAY-Y4,4,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of Year 4, students use [Language] language to initiate structured interactions to share information related to Country/Place, the learning environment and their personal worlds. They use familiar language to participate in spoken and written activities that involve planning and transacting. They locate and respond to key items of information in texts, using strategies to help interpret and convey meaning in familiar contexts. They use familiar and formulaic language, and basic syntax, to create texts.

Students use the sounds, pronunciation and intonation patterns of spoken [Language]. They demonstrate understanding that [Language] has non-verbal, spoken and written language conventions and rules to create and make meaning. They recognise that some terms have cultural meanings. They identify patterns in [Language] and make comparisons between [Language] and English. They understand that the [Language] language is passed down from generation to generation by its Custodians and is connected with culture and identity. They identify how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-FIRST-LANGUAGE-LEARNER-PATHWAY-Y5,5,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of Year 6, students initiate and use strategies to maintain interactions in [Language] language that are related to their experiences and views. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, preferences and ideas. They use strategies to locate and interpret information and ideas in texts. They demonstrate understanding by responding in [Language] or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a range of vocabulary and sentence structures to suit context. They sequence information and ideas, and use conventions appropriate to text type.

Students apply rules of pronunciation and intonation in spoken [Language] to enhance fluency. They apply conventions of spelling and punctuation, and use modelled structures, when creating and responding in [Language]. They compare language structures and features in [Language] and English, using some metalanguage. They reflect on the importance of maintaining and strengthening [Language] and the protocols associated with language reclamation and revitalisation. They show understanding of how language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-FIRST-LANGUAGE-LEARNER-PATHWAY-Y6,6,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of Year 6, students initiate and use strategies to maintain interactions in [Language] language that are related to their experiences and views. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, preferences and ideas. They use strategies to locate and interpret information and ideas in texts. They demonstrate understanding by responding in [Language] or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a range of vocabulary and sentence structures to suit context. They sequence information and ideas, and use conventions appropriate to text type.

Students apply rules of pronunciation and intonation in spoken [Language] to enhance fluency. They apply conventions of spelling and punctuation, and use modelled structures, when creating and responding in [Language]. They compare language structures and features in [Language] and English, using some metalanguage. They reflect on the importance of maintaining and strengthening [Language] and the protocols associated with language reclamation and revitalisation. They show understanding of how language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-LANGUAGE-REVIVAL-PATHWAY-Y0,0,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of the Foundation year, students use play and imagination to interact and create [Language] texts, with support. They identify that [Language] and English are different. They recognise that there are languages and cultures as well as their own, and that aspects of languages and cultures contribute to their own and others’ cultural identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-LANGUAGE-REVIVAL-PATHWAY-Y1,1,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of Year 2, students use [Language] language to interact and share information related to Country/Place, the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar words and modelled language to create texts.

Students reproduce the sounds and rhythms of spoken [Language]. They demonstrate understanding that [Language] has conventions and rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between some features of [Language] and English. They understand that [Language] belongs to Country/Place and Peoples, and is connected with their culture, and notice how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-LANGUAGE-REVIVAL-PATHWAY-Y2,2,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of Year 2, students use [Language] language to interact and share information related to Country/Place, the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar words and modelled language to create texts.

Students reproduce the sounds and rhythms of spoken [Language]. They demonstrate understanding that [Language] has conventions and rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between some features of [Language] and English. They understand that [Language] belongs to Country/Place and Peoples, and is connected with their culture, and notice how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-LANGUAGE-REVIVAL-PATHWAY-Y3,3,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of Year 4, students use [Language] language to initiate structured interactions to share information related to Country/Place, the classroom and their personal worlds. They use modelled language to participate in spoken and written activities that involve planning. They locate and respond to key items of information in texts, using strategies to help interpret and convey meaning in familiar contexts. They use modelled language and basic syntax to create texts.

Students reproduce sound combinations and rhythms of spoken [Language]. They demonstrate understanding that [Language] has non-verbal, spoken and written language conventions and rules to create and make meaning. They recognise that some terms have cultural meanings. They identify patterns in [Language] and make comparisons between [Language] and English. They understand that the [Language] language is passed down from generation to generation by its Custodians and connected with culture and identity. They identify how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-LANGUAGE-REVIVAL-PATHWAY-Y4,4,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of Year 4, students use [Language] language to initiate structured interactions to share information related to Country/Place, the classroom and their personal worlds. They use modelled language to participate in spoken and written activities that involve planning. They locate and respond to key items of information in texts, using strategies to help interpret and convey meaning in familiar contexts. They use modelled language and basic syntax to create texts.

Students reproduce sound combinations and rhythms of spoken [Language]. They demonstrate understanding that [Language] has non-verbal, spoken and written language conventions and rules to create and make meaning. They recognise that some terms have cultural meanings. They identify patterns in [Language] and make comparisons between [Language] and English. They understand that the [Language] language is passed down from generation to generation by its Custodians and connected with culture and identity. They identify how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-LANGUAGE-REVIVAL-PATHWAY-Y5,5,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of Year 6, students initiate and use strategies to maintain interactions in [Language] language that are related to their immediate environment. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, preferences and ideas. They use strategies to locate and interpret information and ideas in texts. They demonstrate understanding by responding in [Language] or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of vocabulary and sentence structures to suit context. They sequence information and ideas, and use conventions appropriate to text type.

Students apply rules of pronunciation and intonation in spoken [Language]. They apply conventions of spelling and punctuation, and use modelled structures, when creating and responding in [Language]. They compare language structures and features in [Language] and English, using some metalanguage. They show understanding of why language should be revived following the appropriate protocols, and how some language reflects cultural practices. They consider how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-LANGUAGE-REVIVAL-PATHWAY-Y6,6,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of Year 6, students initiate and use strategies to maintain interactions in [Language] language that are related to their immediate environment. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, preferences and ideas. They use strategies to locate and interpret information and ideas in texts. They demonstrate understanding by responding in [Language] or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of vocabulary and sentence structures to suit context. They sequence information and ideas, and use conventions appropriate to text type.

Students apply rules of pronunciation and intonation in spoken [Language]. They apply conventions of spelling and punctuation, and use modelled structures, when creating and responding in [Language]. They compare language structures and features in [Language] and English, using some metalanguage. They show understanding of why language should be revived following the appropriate protocols, and how some language reflects cultural practices. They consider how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-SECOND-LANGUAGE-LEARNER-PATHWAY-Y0,0,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of the Foundation year, students use play and imagination to interact and create [Language] texts, with support. They identify that [Language] and English are different. They recognise that there are languages and cultures as well as their own, and that aspects of languages and cultures contribute to their own and others’ cultural identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-SECOND-LANGUAGE-LEARNER-PATHWAY-Y1,1,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of Year 2, students use [Language] language to interact and share information related to Country/Place, the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar words and modelled language to create texts.

Students reproduce the sounds and rhythms of spoken [Language]. They demonstrate understanding that [Language] has conventions and rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between some features of [Language] and English. They understand that [Language] belongs to Country/Place and Peoples, and is connected with their culture, and notice how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-SECOND-LANGUAGE-LEARNER-PATHWAY-Y2,2,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of Year 2, students use [Language] language to interact and share information related to Country/Place, the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar words and modelled language to create texts.

Students reproduce the sounds and rhythms of spoken [Language]. They demonstrate understanding that [Language] has conventions and rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between some features of [Language] and English. They understand that [Language] belongs to Country/Place and Peoples, and is connected with their culture, and notice how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-SECOND-LANGUAGE-LEARNER-PATHWAY-Y3,3,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of Year 4, students use [Language] language to initiate structured interactions to share information related to Country/Place, the classroom and their personal worlds. They use modelled language to participate in spoken and written activities that involve planning. They locate and respond to key items of information in texts using strategies to help interpret and convey meaning in familiar contexts. They use modelled language and basic syntax to create texts.

Students imitate sound combinations and rhythms of spoken [Language]. They demonstrate understanding that [Language] has non-verbal, spoken and written language conventions and rules to create and make meaning. They recognise that some terms have cultural meanings. They identify patterns in [Language] and make comparisons between [Language] and English. They understand that the [Language] language is passed down from generation to generation by its Custodians and is connected with culture and identity. They identify how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-SECOND-LANGUAGE-LEARNER-PATHWAY-Y4,4,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of Year 4, students use [Language] language to initiate structured interactions to share information related to Country/Place, the classroom and their personal worlds. They use modelled language to participate in spoken and written activities that involve planning. They locate and respond to key items of information in texts using strategies to help interpret and convey meaning in familiar contexts. They use modelled language and basic syntax to create texts.

Students imitate sound combinations and rhythms of spoken [Language]. They demonstrate understanding that [Language] has non-verbal, spoken and written language conventions and rules to create and make meaning. They recognise that some terms have cultural meanings. They identify patterns in [Language] and make comparisons between [Language] and English. They understand that the [Language] language is passed down from generation to generation by its Custodians and is connected with culture and identity. They identify how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-SECOND-LANGUAGE-LEARNER-PATHWAY-Y5,5,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of Year 6, students initiate and use strategies to maintain interactions in [Language] language that are related to their immediate environment. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, preferences and ideas. They use strategies to locate and interpret information and ideas in texts. They demonstrate understanding by responding in [Language] or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of vocabulary and sentence structures to suit context. They sequence information and ideas, and use conventions appropriate to text type.

Students apply rules of pronunciation and intonation in spoken [Language]. They apply conventions of spelling and punctuation, and use modelled structures, when creating and responding in [Language]. They compare language structures and features in [Language] and English, using some metalanguage. They show understanding of why language should be revived following the appropriate protocols, and how some language reflects cultural practices. They consider how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-FRAMEWORK-FOR-ABORIGINAL-LANGUAGES-AND-TORRES-STRAIT-ISLANDER-LANGUAGES-SECOND-LANGUAGE-LEARNER-PATHWAY-Y6,6,Framework for Aboriginal Languages and Torres Strait Islander Languages,"By the end of Year 6, students initiate and use strategies to maintain interactions in [Language] language that are related to their immediate environment. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, preferences and ideas. They use strategies to locate and interpret information and ideas in texts. They demonstrate understanding by responding in [Language] or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of vocabulary and sentence structures to suit context. They sequence information and ideas, and use conventions appropriate to text type.

Students apply rules of pronunciation and intonation in spoken [Language]. They apply conventions of spelling and punctuation, and use modelled structures, when creating and responding in [Language]. They compare language structures and features in [Language] and English, using some metalanguage. They show understanding of why language should be revived following the appropriate protocols, and how some language reflects cultural practices. They consider how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-FRENCH-F-10-SEQUENCE-Y0,0,French,"By the end of the Foundation year, students use play and imagination to interact and create French texts, with support. They identify that French and English look and sound different. They recognise that there are languages and cultures as well as their own, and that aspects of language and culture contribute to their own and others’ cultural identity."
ACARA,ACARA-AS-LANGUAGES-FRENCH-F-10-SEQUENCE-Y1,1,French,"By the end of Year 2, students use French language to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar words and modelled language to create texts.
Students imitate the sounds and rhythms of French and demonstrate understanding that French has conventions and rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between some features of French and English. They understand that language is connected with culture, and notice how this is reflected in their own language(s) and culture(s)."
ACARA,ACARA-AS-LANGUAGES-FRENCH-F-10-SEQUENCE-Y2,2,French,"By the end of Year 2, students use French language to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar words and modelled language to create texts.
Students imitate the sounds and rhythms of French and demonstrate understanding that French has conventions and rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between some features of French and English. They understand that language is connected with culture, and notice how this is reflected in their own language(s) and culture(s)."
ACARA,ACARA-AS-LANGUAGES-FRENCH-F-10-SEQUENCE-Y3,3,French,"By the end of Year 4, students use French language to initiate structured interactions to share information related to the classroom and their personal world. They use modelled language to participate in spoken and written activities that involve planning. They locate and respond to key items of information in texts using strategies to help interpret and convey meaning in familiar contexts. They use modelled language and basic syntax to create texts.
Students imitate sound combinations and rhythms of French language. They demonstrate understanding that French has non-verbal, spoken and written language conventions and rules to create and make meaning.  They recognise that some terms have cultural meanings. They identify patterns in French and make comparisons between French and English. They understand that the French language is connected with culture, and identify how this is reflected in their own language(s) and culture(s)."
ACARA,ACARA-AS-LANGUAGES-FRENCH-F-10-SEQUENCE-Y4,4,French,"By the end of Year 4, students use French language to initiate structured interactions to share information related to the classroom and their personal world. They use modelled language to participate in spoken and written activities that involve planning. They locate and respond to key items of information in texts using strategies to help interpret and convey meaning in familiar contexts. They use modelled language and basic syntax to create texts.
Students imitate sound combinations and rhythms of French language. They demonstrate understanding that French has non-verbal, spoken and written language conventions and rules to create and make meaning.  They recognise that some terms have cultural meanings. They identify patterns in French and make comparisons between French and English. They understand that the French language is connected with culture, and identify how this is reflected in their own language(s) and culture(s)."
ACARA,ACARA-AS-LANGUAGES-FRENCH-F-10-SEQUENCE-Y5,5,French,"By the end of Year 6, students initiate and use strategies to maintain interactions in French language that are related to their immediate environment. They use appropriate sound combinations, intonation and rhythm in spoken texts. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, ideas and preferences. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in French or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of vocabulary and sentence structures to suit context. They sequence information and ideas, and use conventions appropriate to text type.
Students apply rules for pronunciation and intonation, spelling and punctuation, and modelled structures, when creating and responding in French. They compare language structures and features in French and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-FRENCH-F-10-SEQUENCE-Y6,6,French,"By the end of Year 6, students initiate and use strategies to maintain interactions in French language that are related to their immediate environment. They use appropriate sound combinations, intonation and rhythm in spoken texts. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, ideas and preferences. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in French or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of vocabulary and sentence structures to suit context. They sequence information and ideas, and use conventions appropriate to text type.
Students apply rules for pronunciation and intonation, spelling and punctuation, and modelled structures, when creating and responding in French. They compare language structures and features in French and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-GERMAN-F-10-SEQUENCE-Y0,0,German,"By the end of the Foundation year, students use play and imagination to interact and create German texts, with support. They identify that German and English look and sound different. They recognise that there are languages and cultures as well as their own, and that aspects of language and culture contribute to their own and others’ cultural identity."
ACARA,ACARA-AS-LANGUAGES-GERMAN-F-10-SEQUENCE-Y1,1,German,"By the end of Year 2, students use German language to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar words and modelled language to create texts.

Students imitate the sounds and rhythms of spoken German. They demonstrate understanding that German has conventions and rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between some features of German and English. They understand that language is connected with culture, and notice how this is reflected in their own language(s) and culture(s)."
ACARA,ACARA-AS-LANGUAGES-GERMAN-F-10-SEQUENCE-Y2,2,German,"By the end of Year 2, students use German language to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts using non-verbal, visual and contextual cues to help make meaning. They use familiar words and modelled language to create texts.

Students imitate the sounds and rhythms of spoken German. They demonstrate understanding that German has conventions and rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between some features of German and English. They understand that language is connected with culture, and notice how this is reflected in their own language(s) and culture(s)."
ACARA,ACARA-AS-LANGUAGES-GERMAN-F-10-SEQUENCE-Y3,3,German,"By the end of Year 4, students use German language to initiate structured interactions to share information related to the classroom and their personal worlds. They use modelled language to participate in spoken and written activities that involve planning. They locate and respond to key items of information in texts using strategies to help interpret and convey meaning in familiar contexts. They use modelled language and basic syntax to create texts.

Students imitate sound combinations and rhythms of spoken German. They demonstrate understanding that German has non-verbal, spoken and written language conventions and rules to create and make meaning. They recognise that some terms have cultural meanings. They identify patterns in German and make comparisons between German and English. They understand that the German language is connected with culture, and identify how this is reflected in their own language(s) and culture(s)."
ACARA,ACARA-AS-LANGUAGES-GERMAN-F-10-SEQUENCE-Y4,4,German,"By the end of Year 4, students use German language to initiate structured interactions to share information related to the classroom and their personal worlds. They use modelled language to participate in spoken and written activities that involve planning. They locate and respond to key items of information in texts using strategies to help interpret and convey meaning in familiar contexts. They use modelled language and basic syntax to create texts.

Students imitate sound combinations and rhythms of spoken German. They demonstrate understanding that German has non-verbal, spoken and written language conventions and rules to create and make meaning. They recognise that some terms have cultural meanings. They identify patterns in German and make comparisons between German and English. They understand that the German language is connected with culture, and identify how this is reflected in their own language(s) and culture(s)."
ACARA,ACARA-AS-LANGUAGES-GERMAN-F-10-SEQUENCE-Y5,5,German,"By the end of Year 6, students initiate and use strategies to maintain interactions in German language that are related to their immediate environment. They use appropriate sound combinations, intonation and rhythm in spoken texts. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, ideas and preferences. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in German or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of vocabulary and sentence structures to suit context. They sequence information and ideas, and use conventions appropriate to text type.

Students apply rules of pronunciation and intonation in spoken German. They apply conventions of spelling and punctuation, and use modelled structures, when creating and responding in German. They compare language structures and features in German and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-GERMAN-F-10-SEQUENCE-Y6,6,German,"By the end of Year 6, students initiate and use strategies to maintain interactions in German language that are related to their immediate environment. They use appropriate sound combinations, intonation and rhythm in spoken texts. They collaborate in spoken and written activities that involve the language of planning and problem-solving to share information, ideas and preferences. They use strategies to locate and interpret information and ideas in texts, and demonstrate understanding by responding in German or English, adjusting their response to context, purpose and audience. They create texts, selecting and using a variety of vocabulary and sentence structures to suit context. They sequence information and ideas, and use conventions appropriate to text type.

Students apply rules of pronunciation and intonation in spoken German. They apply conventions of spelling and punctuation, and use modelled structures, when creating and responding in German. They compare language structures and features in German and English, using some metalanguage. They show understanding of how some language reflects cultural practices and consider how this is reflected in their own language(s), culture(s) and identity."
ACARA,ACARA-AS-LANGUAGES-HINDI-F-10-SEQUENCE-Y0,0,Hindi,"By the end of the Foundation year, students use play and imagination to interact and create Hindi texts, with support. They identify that Hindi and English look and sound different. They recognise that there are languages and cultures as well as their own, and that aspects of language and culture contribute to their own and others’ cultural identity."
ACARA,ACARA-AS-LANGUAGES-HINDI-F-10-SEQUENCE-Y1,1,Hindi,"By the end of Year 2, students use Hindi language to interact and share information related to the classroom and themselves. They use cues to respond to questions and instructions, and use simple formulaic language. They locate and convey key items of information in texts, using non-verbal, visual and contextual cues to help make meaning. They use familiar words and modelled language in Devan?gar? script to create text. They copy Devan?gar? script to make words.

Students imitate the sounds and rhythms of spoken Hindi. They demonstrate understanding that Hindi has rules for non-verbal communication, pronunciation and writing. They give examples of similarities and differences between some features of Hindi and English. They understand that language is connected with culture, and notice how this is reflected in their own language(s) and culture(s)."
